Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
MSFT,Microsoft Corp.,"6,5138%",Software,US,"230.786.541,94 USD",555.938
AAPL,Apple Inc.,"5,9112%",Computer Hardware,US,"209.434.843,00 USD",1.089.388
NVDA,NVIDIA Corp.,"5,4922%",Semiconductors,US,"194.589.804,36 USD",177.492
AMZN,Amazon.com Inc.,"3,3514%",Diversified Retailers,US,"118.740.591,20 USD",672.980
META,Facebook Inc. Class A,"2,177%",Consumer Digital Services,US,"77.133.387,24 USD",165.228
GOOGL,Alphabet Inc. Class A,"2,162%",Consumer Digital Services,US,"76.602.247,50 USD",444.071
GOOG,Alphabet Inc. Class C,"1,8401%",Consumer Digital Services,US,"65.195.859,00 USD",374.775
BRK.B,Berkshire Hathaway Inc. Class B,"1,5942%",Diversified Financial Services,US,"56.481.476,80 USD",136.297
LLY,Eli Lilly & Co.,"1,4635%",Pharmaceuticals,US,"51.851.230,38 USD",63.207
JPM,JPMorgan Chase & Co.,"1,2326%",Banks,US,"43.673.249,16 USD",215.532
AVGO,Broadcom Inc.,"1,2076%",Semiconductors,US,"42.784.624,20 USD",32.204
XOM,Exxon Mobil Corp.,"1,1218%",Integrated Oil and Gas,US,"39.745.394,26 USD",338.951
TSLA,Tesla Inc.,"1,036%",Automobiles,US,"36.706.561,92 USD",206.124
UNH,UnitedHealth Group Inc.,"0,9706%",Health Care Management Services,US,"34.388.585,40 USD",69.420
V,Visa Inc. Class A,"0,9157%",Transaction Processing Services,US,"32.442.084,66 USD",119.071
PG,Procter & Gamble Co.,"0,8161%",Personal Products,US,"28.916.095,06 USD",175.739
MA,Mastercard Inc. Class A,"0,7821%",Transaction Processing Services,US,"27.710.739,81 USD",61.983
COST,Costco Wholesale Corp.,"0,7561%",Diversified Retailers,US,"26.789.541,42 USD",33.078
JNJ,Johnson & Johnson,"0,7449%",Pharmaceuticals,US,"26.392.093,14 USD",179.942
HD,Home Depot Inc.,"0,7062%",Home Improvement Retailers,US,"25.022.491,01 USD",74.723
MRK,Merck & Co. Inc.,"0,6721%",Pharmaceuticals,US,"23.811.799,50 USD",189.675
ABBV,AbbVie Inc.,"0,6001%",Pharmaceuticals,US,"21.261.267,64 USD",131.861
WMT,Walmart Inc.,"0,5936%",Diversified Retailers,US,"21.032.086,56 USD",319.831
CVX,Chevron Corp.,"0,5887%",Integrated Oil and Gas,US,"20.856.199,20 USD",128.504
BAC,Bank of America Corp.,"0,5812%",Banks,US,"20.592.130,68 USD",514.932
NFLX,Netflix Inc.,"0,5775%",Entertainment,US,"20.459.978,56 USD",31.888
AMD,Advanced Micro Devices Inc.,"0,5641%",Semiconductors,US,"19.987.276,40 USD",119.756
KO,Coca-Cola Co.,"0,5169%",Soft Drinks,US,"18.315.084,27 USD",291.039
PEP,PepsiCo Inc.,"0,5024%",Soft Drinks,US,"17.800.227,90 USD",102.951
QCOM,QUALCOMM Inc.,"0,4796%",Semiconductors,US,"16.992.263,75 USD",83.275
CRM,Salesforce Inc.,"0,4628%",Software,US,"16.395.561,40 USD",69.935
TMO,Thermo Fisher Scientific Inc.,"0,4624%",Medical Equipment,US,"16.382.815,12 USD",28.844
WFC,Wells Fargo & Co.,"0,4552%",Banks,US,"16.128.486,64 USD",269.167
LIN,Linde plc,"0,4454%",Chemicals: Diversified,IE,"15.781.067,20 USD",36.235
ADBE,Adobe Inc.,"0,423%",Software,US,"14.988.412,00 USD",33.700
DIS,Walt Disney Co.,"0,4003%",Entertainment,US,"14.182.675,90 USD",136.490
MCD,McDonald's Corp.,"0,3978%",Restaurants and Bars,US,"14.095.524,94 USD",54.446
CSCO,Cisco Systems Inc./Delaware,"0,3977%",Telecommunications Equipment,US,"14.090.988,00 USD",303.032
ORCL,Oracle Corp.,"0,381%",Software,US,"13.497.592,63 USD",115.177
AMAT,Applied Materials Inc.,"0,3789%",Production Technology Equipment,US,"13.425.723,76 USD",62.422
GE,General Electric Co.,"0,3772%",Diversified Industrials,US,"13.363.954,50 USD",80.925
ACN,Accenture plc Class A,"0,3763%",Professional Business Support Services,IE,"13.333.685,86 USD",47.234
TXN,Texas Instruments Inc.,"0,3732%",Semiconductors,US,"13.223.823,11 USD",67.811
ABT,Abbott Laboratories,"0,373%",Medical Equipment,US,"13.215.108,61 USD",129.319
VZ,Verizon Communications Inc.,"0,3651%",Telecommunications Services,US,"12.934.226,85 USD",314.319
CAT,Caterpillar Inc.,"0,3639%",Machinery: Construction and Handling,US,"12.892.872,72 USD",38.086
DHR,Danaher Corp.,"0,3566%",Medical Equipment,US,"12.635.073,60 USD",49.202
NEE,NextEra Energy Inc.,"0,3464%",Conventional Electricity,US,"12.273.387,58 USD",153.379
AMGN,Amgen Inc.,"0,3445%",Pharmaceuticals,US,"12.206.167,65 USD",39.909
PFE,Pfizer Inc.,"0,3415%",Pharmaceuticals,US,"12.098.274,46 USD",422.131
CMCSA,Comcast Corp. Class A,"0,3324%",Cable Television Services,US,"11.776.705,91 USD",294.197
INTU,Intuit Inc.,"0,3321%",Software,US,"11.768.022,60 USD",20.415
PM,Philip Morris International Inc.,"0,3318%",Tobacco,US,"11.754.504,10 USD",115.945
RTX,RTX Corp.,"0,3267%",Aerospace,US,"11.575.344,08 USD",107.368
RY,Royal Bank of Canada,"0,3231%",Banks,CA,"11.448.011,62 USD",104.748
IBM,International Business Machines Corp.,"0,3196%",Computer Services,US,"11.322.607,85 USD",67.861
GS,Goldman Sachs Group Inc.,"0,3034%",Investment Services,US,"10.751.046,00 USD",23.550
UNP,Union Pacific Corp.,"0,2992%",Railroads,US,"10.601.691,52 USD",45.536
ISRG,Intuitive Surgical Inc.,"0,2964%",Medical Equipment,US,"10.502.168,04 USD",26.117
COP,ConocoPhillips,"0,2942%",Oil: Crude Producers,US,"10.423.096,32 USD",89.484
AXP,American Express Co.,"0,2939%",Transaction Processing Services,US,"10.411.680,00 USD",43.382
MU,Micron Technology Inc.,"0,2883%",Semiconductors,US,"10.214.500,00 USD",81.716
SPGI,S&P Global Inc.,"0,2857%",Financial Data Providers,US,"10.123.864,31 USD",23.681
HON,Honeywell International Inc.,"0,2841%",Diversified Industrials,US,"10.064.007,25 USD",49.775
